,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,maintenance_fee,travel_labor,insurance,warranty_fee,buscon_fee,total_interest,total_gain
0,7500,2,449.926041674485,10798.22500018764,2325.0,675.0,600,525.0,0.0,525.0,973.22500018764,3298.22500018764
1,10000,2,591.56805556598,14197.633333583519,2900.0,900.0,600,700.0,0.0,700.0,1297.6333335835188,4197.633333583519
2,12500,2,733.210069457475,17597.0416669794,3475.0,1125.0,600,875.0,0.0,875.0,1622.0416669793995,5097.041666979399
3,15000,2,874.85208334897,20996.45000037528,4050.0,1350.0,600,1050.0,0.0,1050.0,1946.45000037528,5996.45000037528
4,17500,2,1016.4940972404651,24395.85833377116,4625.0,1575.0,600,1225.0,0.0,1225.0,2270.8583337711607,6895.858333771161
5,20000,2,1158.13611113196,27795.266667167038,5200.0,1800.0,600,1400.0,0.0,1400.0,2595.2666671670377,7795.266667167038
6,22500,5,604.2500729102896,36255.004374617376,6225.0,1575.0,1500,1575.0,0.0,1575.0,7530.004374617376,13755.004374617376
7,25000,5,668.611192122544,40116.67152735264,6750.0,1750.0,1500,1750.0,0.0,1750.0,8366.671527352642,15116.671527352642
8,27500,5,732.9723113347984,43978.3386800879,7275.0,1925.0,1500,1925.0,0.0,1925.0,9203.338680087902,16478.3386800879
9,30000,5,797.3334305470529,47840.005832823175,7800.0,2100.0,1500,2100.0,0.0,2100.0,10040.005832823175,17840.005832823175
10,32500,5,861.6945497593073,51701.672985558434,8325.0,2275.0,1500,2275.0,0.0,2275.0,10876.672985558434,19201.672985558434
11,35000,5,926.0556689715618,55563.34013829371,8850.0,2450.0,1500,2450.0,0.0,2450.0,11713.340138293708,20563.340138293708
12,37500,5,990.416788183816,59425.00729102896,9375.0,2625.0,1500,2625.0,0.0,2625.0,12550.00729102896,21925.00729102896
13,40000,5,1054.7779073960705,63286.674443764234,9900.0,2800.0,1500,2800.0,0.0,2800.0,13386.674443764234,23286.674443764234
14,42500,5,1119.139026608325,67148.3415964995,10425.0,2975.0,1500,2975.0,0.0,2975.0,14223.341596499493,24648.341596499493
15,45000,5,1183.5001458205793,71010.00874923475,10950.0,3150.0,1500,3150.0,0.0,3150.0,15060.008749234752,26010.008749234752
16,47500,5,1247.8612650328337,74871.67590197003,11475.0,3325.0,1500,3325.0,0.0,3325.0,15896.675901970026,27371.675901970026
17,50000,5,1312.222384245088,78733.34305470528,12000.0,3500.0,1500,3500.0,0.0,3500.0,16733.343054705285,28733.343054705285
18,52500,7,1070.5184718463752,89923.55163509551,12075.0,3675.0,2100,2625.0,0.0,3675.0,25348.551635095515,37423.551635095515
19,55000,7,1120.3050657438214,94105.625522481,12550.0,3850.0,2100,2750.0,0.0,3850.0,26555.625522481,39105.625522481
20,57500,7,1170.0916596412678,98287.6994098665,13025.0,4025.0,2100,2875.0,0.0,4025.0,27762.6994098665,40787.6994098665
21,60000,7,1219.8782535387145,102469.77329725202,13500.0,4200.0,2100,3000.0,0.0,4200.0,28969.773297252017,42469.77329725202
22,62500,7,1269.664847436161,106651.84718463752,13975.0,4375.0,2100,3125.0,0.0,4375.0,30176.847184637518,44151.84718463752
23,65000,7,1319.4514413336074,110833.92107202302,14450.0,4550.0,2100,3250.0,0.0,4550.0,31383.92107202302,45833.92107202302
24,67500,7,1369.2380352310536,115015.9949594085,14925.0,4725.0,2100,3375.0,0.0,4725.0,32590.994959408505,47515.994959408505
25,70000,7,1419.0246291285,119198.068846794,15400.0,4900.0,2100,3500.0,0.0,4900.0,33798.068846794005,49198.068846794005
26,72500,7,1468.8112230259464,123380.1427341795,15875.0,5075.0,2100,3625.0,0.0,5075.0,35005.142734179506,50880.142734179506
27,75000,7,1518.5978169233929,127562.216621565,16350.0,5250.0,2100,3750.0,0.0,5250.0,36212.21662156501,52562.21662156501
28,77500,7,1568.3844108208395,131744.29050895054,16825.0,5425.0,2100,3875.0,0.0,5425.0,37419.29050895054,54244.29050895054
29,80000,7,1618.171004718286,135926.36439633602,17300.0,5600.0,2100,4000.0,0.0,5600.0,38626.36439633602,55926.36439633602
30,82500,7,1667.9575986157324,140108.4382837215,17775.0,5775.0,2100,4125.0,0.0,5775.0,39833.43828372151,57608.43828372151
31,85000,7,1717.7441925131789,144290.51217110702,18250.0,5950.0,2100,4250.0,0.0,5950.0,41040.512171107024,59290.512171107024
32,87500,7,1767.5307864106253,148472.58605849254,18725.0,6125.0,2100,4375.0,0.0,6125.0,42247.58605849254,60972.58605849254
33,90000,7,1817.3173803080717,152654.65994587803,19200.0,6300.0,2100,4500.0,0.0,6300.0,43454.659945878026,62654.659945878026
34,92500,7,1867.1039742055182,156836.7338332635,19675.0,6475.0,2100,4625.0,0.0,6475.0,44661.73383326351,64336.73383326351
35,95000,7,1916.8905681029644,161018.807720649,20150.0,6650.0,2100,4750.0,0.0,6650.0,45868.807720649,66018.807720649
36,97500,7,1966.6771620004108,165200.8816080345,20625.0,6825.0,2100,4875.0,0.0,6825.0,47075.88160803451,67700.88160803451
37,100000,7,2016.4637558978573,169382.95549542,21100.0,7000.0,2100,5000.0,0.0,7000.0,48282.95549542,69382.95549542
38,102500,7,2041.8455878905418,171515.02938280551,19525.0,5125.0,2100,5125.0,0.0,7175.0,49490.029382805515,69015.02938280551
39,105000,7,2091.0369436927504,175647.10327019103,19950.0,5250.0,2100,5250.0,0.0,7350.0,50697.10327019103,70647.10327019103
40,107500,7,2140.2282994949583,179779.1771575765,20375.0,5375.0,2100,5375.0,0.0,7525.0,51904.17715757649,72279.17715757649
41,110000,7,2189.4196552971666,183911.251044962,20800.0,5500.0,2100,5500.0,0.0,7700.0,53111.251044962,73911.251044962
42,112500,7,2238.611011099375,188043.3249323475,21225.0,5625.0,2100,5625.0,0.0,7875.0,54318.32493234749,75543.32493234749
43,115000,7,2287.8023669015834,192175.398819733,21650.0,5750.0,2100,5750.0,0.0,8050.0,55525.398819733,77175.398819733
44,117500,7,2336.9937227037917,196307.4727071185,22075.0,5875.0,2100,5875.0,0.0,8225.0,56732.47270711849,78807.47270711849
45,120000,7,2386.185078506,200439.546594504,22500.0,6000.0,2100,6000.0,0.0,8400.0,57939.546594504005,80439.546594504
46,122500,7,2435.3764343082084,204571.62048188952,22925.0,6125.0,2100,6125.0,0.0,8575.0,59146.62048188952,82071.62048188952
47,125000,7,2484.567790110417,208703.694369275,23350.0,6250.0,2100,6250.0,0.0,8750.0,60353.69436927501,83703.694369275
48,127500,7,2533.759145912625,212835.76825666052,23775.0,6375.0,2100,6375.0,0.0,8925.0,61560.76825666052,85335.76825666052
49,130000,7,2582.9505017148335,216967.842144046,24200.0,6500.0,2100,6500.0,0.0,9100.0,62767.84214404601,86967.84214404601
50,132500,7,2632.141857517042,221099.91603143152,24625.0,6625.0,2100,6625.0,0.0,9275.0,63974.91603143152,88599.91603143152
51,135000,7,2681.3332133192503,225231.989918817,25050.0,6750.0,2100,6750.0,0.0,9450.0,65181.98991881701,90231.98991881701
52,137500,7,2730.5245691214586,229364.06380620252,25475.0,6875.0,2100,6875.0,0.0,9625.0,66389.06380620252,91864.06380620252
53,140000,7,2779.715924923667,233496.13769358804,25900.0,7000.0,2100,7000.0,0.0,9800.0,67596.13769358804,93496.13769358804
54,142500,7,2828.9072807258754,237628.21158097353,26325.0,7125.0,2100,7125.0,0.0,9975.0,68803.21158097353,95128.21158097353
55,145000,7,2878.0986365280833,241760.28546835898,26750.0,7250.0,2100,7250.0,0.0,10150.0,70010.28546835898,96760.28546835898
