,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,total_interest,total_gain
0,7500,2,413.676041674485,9928.22500018764,1455.0,973.22500018764,2428.22500018764
1,10000,2,543.2347222326466,13037.633333583519,1740.0,1297.6333335835188,3037.633333583519
2,12500,2,672.7934027908084,16147.041666979401,2025.0,1622.0416669794013,3647.0416669794013
3,15000,2,802.35208334897,19256.45000037528,2310.0,1946.45000037528,4256.45000037528
4,17500,2,931.9107639071317,22365.85833377116,2595.0,2270.8583337711607,4865.858333771161
5,20000,2,1061.4694444652932,25475.266667167038,2880.0,2595.2666671670377,5475.266667167038
6,22500,5,566.3750729102896,33982.504374617376,3952.5,7530.004374617376,11482.504374617376
7,25000,5,626.5278587892107,37591.67152735264,4225.0,8366.671527352642,12591.671527352642
8,27500,5,686.6806446681318,41200.83868008791,4497.5,9203.338680087909,13700.838680087909
9,30000,5,746.8334305470529,44810.005832823175,4770.0,10040.005832823175,14810.005832823175
10,32500,5,806.9862164259739,48419.172985558434,5042.5,10876.672985558434,15919.172985558434
11,35000,5,867.1390023048951,52028.34013829371,5315.0,11713.340138293708,17028.340138293708
12,37500,5,927.291788183816,55637.50729102896,5587.5,12550.00729102896,18137.50729102896
13,40000,5,987.4445740627372,59246.67444376423,5860.0,13386.674443764226,19246.674443764226
14,42500,5,1047.5973599416582,62855.84159649949,6132.5,14223.341596499493,20355.841596499493
15,45000,5,1107.7501458205793,66465.00874923475,6405.0,15060.008749234752,21465.008749234752
16,47500,5,1167.9029316995004,70074.17590197003,6677.5,15896.675901970026,22574.175901970026
17,50000,5,1228.0557175784213,73683.34305470528,6950.0,16733.343054705285,23683.343054705285
18,52500,7,1018.0184718463751,85513.5516350955,7665.0,25348.5516350955,33013.5516350955
19,55000,7,1065.3050657438214,89485.625522481,7930.0,26555.625522481,34485.625522481
20,57500,7,1112.5916596412678,93457.6994098665,8195.0,27762.6994098665,35957.6994098665
21,60000,7,1159.8782535387145,97429.77329725202,8460.0,28969.773297252017,37429.77329725202
22,62500,7,1207.164847436161,101401.84718463752,8725.0,30176.847184637518,38901.84718463752
23,65000,7,1254.4514413336074,105373.92107202302,8990.0,31383.92107202302,40373.92107202302
24,67500,7,1301.7380352310536,109345.9949594085,9255.0,32590.994959408505,41845.994959408505
25,70000,7,1349.0246291285,113318.068846794,9520.0,33798.068846794005,43318.068846794005
26,72500,7,1396.3112230259464,117290.1427341795,9785.0,35005.142734179506,44790.142734179506
27,75000,7,1443.5978169233929,121262.216621565,10050.0,36212.21662156501,46262.21662156501
28,77500,7,1490.8844108208395,125234.29050895052,10315.0,37419.29050895052,47734.29050895052
