,Equipment Name,Type,EquipmentPrice,LoanTerm,Free Warranty,additional_warranty,payment,total_payment,finance_product_gain,maintenance_fee,travel_labor,insurance,warranty_fee,buscon_fee,total_interest,total_gain,total_period,yearly_added_value_ratio
0,Ultrasonic Cleaners,5 Litres,726,2,1,2,95.57284083409016,2293.748180018164,1473.54,196.02,900,108.9,116.16,152.46000000000004,94.20818001816406,1567.748180018164,3,0.6765564738292011
1,Ultrasonic Cleaners,10 Litres,1090,2,1,2,124.68925139002515,2992.5420333606035,1761.1,294.29999999999995,900,163.5,174.4,228.90000000000003,141.44203336060355,1902.5420333606035,3,0.5385626911314985
2,Bonida Hd Intraoral Camera ,,1636,2,1,2,168.36386722392768,4040.7328133742644,2192.44,441.7199999999999,900,245.40000000000003,261.76,343.56000000000006,212.29281337426437,2404.7328133742644,3,0.44670741646291773
3,Plant Equipment,Chair Compressor One-Chair  ,1817,2,1,2,182.84208236300526,4388.209976712126,2335.4300000000003,490.59000000000003,900,272.55,290.72,381.57000000000005,235.77997671212597,2571.2099767121263,3,0.428440653091176
4,Plant Equipment,Chair Compressor Two-Chair  ,2999,2,1,2,277.39042653090405,6657.370236741697,3269.21,809.7299999999999,900,449.85,479.84000000000003,629.79,389.1602367416972,3658.370236741697,3,0.36336667778148274
5,Plant Equipment,Chair Suction Two-Three Chair,3000,2,1,2,277.47041666979396,6659.290000075055,3270.0,810.0,900,450.0,480.0,630.0000000000001,389.2900000750551,3659.290000075055,3,0.36333333333333334
6,Runyes Autoclaves,12L B Autoclave,3090,2,1,2,284.6695291698878,6832.068700077308,3341.1000000000004,834.3,900,463.5,494.40000000000003,648.9000000000001,400.9687000773074,3742.0687000773078,3,0.36042071197411
7,Runyes Autoclaves,5L B Fast Cycle Autoclave,3635,2,1,2,328.26415486490043,7878.33971675761,3771.65,981.4499999999999,900,545.25,581.6,763.35,471.6897167576103,4243.33971675761,3,0.34586428243924805
8,Runyes X-Rays,Intpaopal Sensop,3635,2,1,2,328.26415486490043,7878.33971675761,3771.65,981.4499999999999,900,545.25,581.6,763.35,471.6897167576103,4243.33971675761,3,0.34586428243924805
9,Runyes X-Rays,Handheld X-Ray,3900,2,1,2,349.46154167073223,8387.077000097574,3981.0,1053.0,900,585.0,624.0,819.0,506.07700009757355,4487.077000097574,3,0.34025641025641024
10,Runyes X-Rays,Wall Mounted X-Ray,4000,2,1,2,357.4605555597253,8579.053333433407,4060.0,1080.0,900,600.0,640.0,840.0,519.0533334334068,4579.053333433407,3,0.3383333333333333
11,Enbio Autoclaves,Enbio S 2.7L (B Class) Autoclave,4541,2,1,2,400.73522069917817,9617.645296780276,4487.39,1226.07,900,681.1500000000001,726.5600000000001,953.61,589.2552967802758,5076.645296780276,3,0.32939807678191296
12,Plant Equipment,Chair Compressor Three Chair  ,4545,2,1,2,401.05518125473793,9625.324350113711,4490.55,1227.15,900,681.75,727.2,954.45,589.7743501137111,5080.324350113711,3,0.3293399339933994
13,Runyes X-Rays,Mobile X-Ray,4800,2,1,2,421.4526666716704,10114.86400012009,4692.0,1296.0,900,720.0,768.0,1008.0000000000002,622.8640001200893,5314.864000120089,3,0.3258333333333333
14,Runyes Autoclaves,18L B Autoclave,5090,2,1,2,444.6498069497505,10671.595366794012,4921.1,1374.3,900,763.5,814.4,1068.9,660.4953667940117,5581.595366794012,3,0.32227242960052394
15,`,Enbio Pro 5.3L (B Class) Autoclave,5450,2,1,2,473.44625695012576,11362.71016680302,5205.5,1471.5,900,817.5,872.0,1144.5000000000002,707.2101668030191,5912.710166803019,3,0.3183792048929664
16,Runyes Autoclaves,23L B Autoclave,5726,2,1,2,495.5235352837468,11892.564846809924,5423.54,1546.02,900,858.9000000000001,916.16,1202.46,743.0248468099244,6166.564846809924,3,0.31572592851321457
17,Runyes X-Rays,Bundle Special Ppice,5909,2,1,2,510.16173070060427,12243.881536814502,5568.11,1595.4299999999998,900,886.3499999999999,945.44,1240.89,766.7715368145027,6334.881536814502,3,0.3141033451796694
18,Runyes Washer Disinfector (Rinse-5),,6355,2,1,2,545.8373326455137,13100.095983492329,5920.450000000001,1715.85,900,953.25,1016.8000000000001,1334.5500000000002,824.645983492328,6745.095983492329,3,0.31054025701547344
